customer_id,signup_date,age_group,location,segment,churn_flag,churn_date,plan_type,plan_price,contract_duration,discount_applied,last_login_date,total_logins,avg_session_duration,features_used_count,payment_status,last_payment_date,outstanding_balance,total_spent,random_notes,survey_response,timestamp
1,2024-12-30,46-55,New York,Corporate,0,,Business,49.99,Monthly,15,2023-08-14,54,44.22,10,Failed,2023-10-16,16.39,1699.66,Customer called support,Very Satisfied,2019-01-01 00:00:00
2,2024-06-04,18-25,Miami,Student,0,,Enterprise,99.99,Annual,5,2023-03-08,467,33.5,11,Successful,2023-02-15,419.42,2499.75,Feedback given,Very Satisfied,2019-01-01 00:01:00
3,2024-01-18,26-35,Miami,Corporate,0,,Business,29.99,Monthly,20,2023-11-13,360,21.74,9,Successful,2024-01-20,434.58,569.81,NA,Very Satisfied,2019-01-01 00:02:00
4,2024-05-05,26-35,New York,Individual,0,,Business,49.99,Monthly,5,2024-05-10,156,36.45,11,Successful,2024-10-12,3.5,949.81,Feedback given,Very Satisfied,2019-01-01 00:03:00
5,2024-05-31,56+,Chicago,Student,0,,Premium,19.99,Monthly,10,2023-09-18,326,57.3,15,Successful,2023-04-19,199.84,559.72,,Dissatisfied,2019-01-01 00:04:00
6,2024-10-19,26-35,Chicago,Corporate,0,,Standard,49.99,Monthly,10,2023-08-03,492,8.51,3,Failed,2024-07-29,109.82,1349.73,,Neutral,2019-01-01 00:05:00
7,2023-12-25,26-35,Chicago,Individual,0,,Business,29.99,Monthly,15,2023-11-09,222,40.85,16,Successful,2023-11-13,276.73,629.79,Customer called support,Very Dissatisfied,2019-01-01 00:06:00
8,2023-03-18,36-45,Miami,Student,1,,Basic,29.99,Monthly,0,2024-06-02,437,27.64,5,Successful,2023-08-04,97.95,569.81,Customer called support,Very Satisfied,2019-01-01 00:07:00
9,2023-05-21,56+,New York,Individual,0,,Basic,29.99,Annual,20,2024-06-09,124,40.87,15,Successful,2023-12-29,292.53,179.94,Customer called support,Dissatisfied,2019-01-01 00:08:00
10,2023-05-07,26-35,Houston,Individual,0,,Premium,19.99,Monthly,15,2024-03-02,478,28.53,13,Successful,2023-02-20,346.35,13993.0,Feedback given,Dissatisfied,2019-01-01 00:09:00
11,2023-06-27,26-35,Houston,Student,0,,Premium,29.99,Annual,0,2024-04-09,19,42.71,1,Successful,2024-07-20,332.46,359.88,Feedback given,Dissatisfied,2019-01-01 00:10:00
12,2023-09-11,26-35,Miami,Individual,0,,Premium,49.99,Annual,15,2023-02-27,326,38.84,14,Successful,2023-11-09,360.45,449.91,Customer called support,Satisfied,2019-01-01 00:11:00
